Official	LFC	FDR
PGM1	-7.8169	0.913963
IRAK4	-8.02	0.913963
C11orf48	-7.6825	0.913963
IL17A	-7.5185	0.913963
CPEB3	-7.1874	0.913963
IGHV3-30	-4.2234	0.949396
NARS	-6.1242	0.963088
AGAP8	-6.6134	0.906973
AURKC	-7.3615	0.913963
CMTR2	-7.3592	0.913963
AC003002.4	-7.4224	0.913963
CCDC15	-7.7224	0.913963
HAS1	-7.8328	0.913963
MDC1	-7.5839	0.913963
ZNF485	-7.584	0.913963
SLCO1B1	-7.9608	0.913963
SLC27A5	-7.9614	0.913963
TYSND1	-7.9489	0.913963
APLNR	-7.8247	0.913963
SYP	-7.7813	0.913963
DUSP21	-7.8623	0.913963
PLEKHM1	-7.466	0.913963
CTD-3193O13.9	-7.6856	0.913963
RYR1	-7.6291	0.913963
MFRP	-7.7516	0.913963
TMEM109	-7.9586	0.913963
LINGO2	-7.7224	0.913963
IGHG4	-8.0911	0.913963
C4orf32	-7.4472	0.913963
HSPA12A	-7.7843	0.913963
UAP1	-7.6985	0.913963
VANGL2	-7.5581	0.913963
PRELP	-7.9643	0.913963
CCR1	-7.7576	0.913963
NLRX1	-7.3404	0.913963
SLCO2A1	-7.6873	0.913963
BANP	-7.0123	0.913963
NRCAM	-7.7027	0.913963
NT5C1A	-7.6239	0.913963
YPEL4	-7.3393	0.914895
RP11-139J15.7	-8.0246	0.880486
TPRG1	-7.1778	0.915957
CEACAM3	-7.8025	0.915957
IGLV2-8	-8.1154	0.907219
PSG3	-8.0112	0.915957
COA1	-8.0308	0.915957
NOTCH2	-8.0568	0.915957
MOB1B	-8.098	0.915957
NMRAL1	-8.0094	0.915957
KIAA2022	-8.1028	0.915957
MAGEL2	-7.7358	0.907219
SYAP1	-8.1491	0.907219
ZNF607	-7.841	0.864174
ENPP4	-8.069	0.915957
TRIM15	-7.9008	0.915957
TEX40	-8.1042	0.915957
ZIK1	-7.952	0.915957
PAN2	-7.2851	0.915957
RGS19	-7.5412	0.915957
AC006547.14	-7.5885	0.915957
ADAM19	-7.1436	0.915957
CAMKV	-7.6305	0.915957
LAYN	-7.7911	0.916358
NTMT1	-7.6951	0.916358
FANCA	-7.4015	0.916358
C17orf51	-7.3358	0.916973
IGHV3-21	-7.5714	0.916973
PITRM1	-7.8548	0.916973
AC016586.1	-7.9465	0.916973
SEZ6L	-7.8496	0.916973
TMPRSS13	-7.871	0.916973
NTN5	-7.9621	0.916973
STARD4	-7.2652	0.917196
GHITM	-7.4899	0.908957
CXCL1	-7.6084	0.919048
AMZ1	-7.3924	0.919048
CATSPERG	-7.8063	0.919175
HECTD2	-7.3521	0.919175
F11	-7.4229	0.919487
MIEN1	-6.0689	0.920727
ZNF530	-7.1739	0.908957
PCDHGC4	-7.5349	0.868121
CTBP1	-7.8629	0.908957
CHPF	-8.007	0.920752
ANKRD30BL	-6.875	0.920752
MLH3	-7.9043	0.920752
TMEM63A	-7.9984	0.920752
NR2C1	-8.0129	0.920752
KCNJ15	-8.06	0.920752
FSHB	-8.074	0.908957
FHL5	-7.4463	0.920752
PRRT1	-7.5762	0.920752
SCHIP1	-7.8568	0.920752
CPNE9	-7.5166	0.920873
CCDC62	-7.3489	0.920873
SEC61A1	-5.6609	0.920873
ARTN	-7.7996	0.904031
C2orf43	-7.8215	0.920873
LDB3	-7.5892	0.920873
PTPRF	-7.7109	0.920873
DDX28	-7.7858	0.920873
MOGAT1	-7.5174	0.920873
LYN	-7.8104	0.920873
KRT26	-7.9417	0.920873
GPR156	-7.811	0.920873
C9orf16	-7.4263	0.920873
TRIM45	-6.8528	0.920873
LOXL1	-8.1524	0.912491
WBP5	-6.9705	0.912491
C1orf137	-7.2689	0.912491
BABAM1	-8.1458	0.877047
REG1A	-7.5891	0.920873
LY75-CD302	-7.4489	0.920873
USH1C	-7.6248	0.920873
NECAB3	-7.2651	0.920873
OR2T10	-7.5506	0.920873
C2orf62	-7.0015	0.920873
C12orf42	-7.1011	0.920873
C16orf11	-6.6633	0.920873
SCNM1	-7.7059	0.920873
DUSP10	-7.4286	0.920873
SORD	-7.8394	0.920873
NEK5	-7.7302	0.920873
GAS6	-7.8662	0.920873
RORB	-7.6979	0.920873
CAV1	-7.9406	0.920873
KCTD3	-7.6547	0.920873
SNX21	-7.8128	0.920873
PIK3C2G	-6.6511	0.920873
MATN4	-7.7113	0.920873
N4BP1	-8.029	0.920873
HLA-DQB2	-8.0619	0.920873
C14orf164	-7.7888	0.920873
PWWP2B	-7.3836	0.920873
GRM4	-7.4	0.920873
ASPN	-7.7386	0.920873
GPR37	-8.0699	0.920873
FBXO18	-8.0038	0.920873
DDX53	-7.6299	0.920873
RASL11A	-7.7819	0.920873
RCN3	-7.7064	0.920873
ANKRD10	-7.7916	0.92198
PPP3CA	-7.3017	0.92198
SNURF	-6.9401	0.923083
CCDC12	-6.4609	1
KRTCAP3	-7.1966	0.92285
PSG2	-7.5773	0.92285
TMEM14A	-7.2408	0.92285
MANSC4	-7.4828	0.92285
CPT1A	-7.2533	0.92285
AC012313.1	-7.6133	0.92285
SIAH3	-7.8634	0.92285
PCDHGA11	-7.6683	0.871987
PEX5	-8.1491	0.91367
TSNARE1	-7.4109	0.92285
HS3ST3B1	-7.6735	0.92285
PDE8B	-7.6703	0.92285
TCAIM	-7.9339	0.92285
UGT2B17	-8.0037	0.92285
SLC22A11	-7.8121	0.92285
DDC	-8.0483	0.92285
NDUFA9	-7.879	0.92285
PDZD8	-7.8259	0.92285
SUV420H2	-6.6876	0.92285
PLCZ1	-7.3712	0.923077
PLA2G1B	-7.7019	0.923077
SERPINA7	-7.7214	0.923077
SFT2D1	-7.577	0.923077
IGKV2D-29	-6.1465	0.923077
FBXO38	-7.4858	0.923077
PEG3	-8.5604	0.844423
DHRS7C	-6.861	0.913963
RP11-514O12.4	-7.2474	0.871995
PPARG	-7.6139	0.923083
CA6	-8.0644	0.923083
DCLRE1C	-8.0316	0.923083
C19orf35	-7.5349	0.923083
C1orf234	-7.608	0.923083
ELK1	-7.8462	0.923083
SLC25A18	-8.0461	0.923083
PHACTR1	-8.058	0.923083
SLC8A3	-7.7899	0.923083
PFKM	-7.1657	0.923083
NPTN	-7.1305	0.923384
INPP5J	-8.0086	0.908765
AC099344.1	-8.2853	0.797107
UTP14C	-7.5774	0.924093
PTPN21	-7.2345	0.924093
XAGE5	-6.0678	0.924093
KNCN	-7.3015	0.924093
AL133373.1	-7.4522	0.924093
KCNN4	-7.1757	0.924093
RSG1	-8.1458	0.913963
TREX2	-7.8343	0.913963
AC006372.1	-7.663	0.913963
IL17RD	-7.6999	0.913963
ITLN2	-7.649	0.913963
MYOM3	-7.606	0.913963
PDZD3	-7.6108	0.913963
CHTOP	-7.8512	0.913963
PCP4	-7.2089	0.926266
COL13A1	-7.3171	0.913963
VTN	-7.9148	0.878144
PNOC	-7.4566	0.927872
DDB2	-7.7466	0.927872
FAM166B	-7.8138	0.927872
KIAA0226	-7.749	0.927872
YIPF5	-7.7591	0.927872
KSR2	-7.8741	0.927888
SLC7A8	-8.096	0.927888
HMGA2	-7.9643	0.927888
SPG20OS	-7.7025	0.888924
OR2T4	-7.7375	0.92874
CHDH	-7.3487	0.92874
GPRASP1	-7.9227	0.92874
DRD1	-7.8155	0.92874
CHURC1-FNTB	-6.4927	0.915957
ARHGAP35	-8.0269	0.92874
DMKN	-7.4093	0.92874
TRPV6	-7.9928	0.92874
TRBV5-5	-8.0145	0.92874
INCA1	-7.1624	0.92874
HLA-DQA1	-6.3019	0.92874
CREBZF	-7.9984	0.915957
C17orf96	-7.9264	0.915957
CCL1	-7.8791	0.915957
GPATCH2	-6.786	0.915957
ABCG8	-7.3347	0.915957
GUCA2A	-6.7533	0.930408
EFCAB5	-7.3522	0.930408
ABCA9	-7.9315	0.930408
C3orf30	-6.9344	0.930408
FLG2	-7.5382	0.930408
TARBP1	-7.5523	0.930408
SMIM11	-6.7425	0.930408
ZBTB10	-7.5865	0.917727
RP11-683L23.1	-7.2721	0.930686
C1orf147	-7.6811	0.930686
ACPP	-7.9314	0.930686
MYOD1	-7.9979	0.930686
NEU2	-6.7764	0.930686
MADD	-7.8522	0.930686
PDE10A	-8.0201	0.930686
BID	-7.428	0.930686
TMEM159	-6.7966	0.930686
RUNX1	-8.0512	0.930686
TRIM65	-7.4594	0.930686
CLECL1	-7.2703	0.930686
FAM166A	-7.1123	0.930686
TRAJ35	-8.2924	1
SBF1	-7.8666	0.930686
MSMP	-7.9887	0.930686
OR51I2	-7.7179	0.930686
GPNMB	-7.8251	0.930686
POU4F3	-7.7179	0.930686
HRH2	-7.8633	0.930686
C9orf89	-7.8272	0.930686
VCX2	-7.9947	0.880486
NYAP2	-7.7171	0.930686
TMEM8B	-7.9854	0.930686
TRIM62	-8.018	0.930686
PCSK7	-8.0725	0.930686
IGKV1-27	-5.9053	0.920752
RABGEF1	-8.1391	0.920752
TMEM126B	-7.2706	0.931114
RHOQ	-6.5198	0.931114
DPCD	-7.4847	0.931114
C19orf84	-7.9457	0.920752
UGT1A5	-8.3419	0.881043
OR56B4	-6.8379	0.931241
PZP	-7.2124	0.931241
SHB	-7.6078	0.931241
FAM76A	-7.897	0.931241
UCN2	-7.7498	0.931241
KCNMB3	-6.9076	0.932242
USP27X	-7.4156	0.932242
RBP3	-7.6618	0.932242
PITPNC1	-7.2124	0.932242
ZFP69B	-7.3512	0.932242
IGLV2-18	-7.4794	0.920873
C4orf36	-7.0215	0.933511
NPBWR2	-7.5491	0.933511
WDR63	-7.3859	0.933511
CRELD2	-7.6204	0.933511
CCNB1	-7.8552	0.933511
EIF3H	-7.8418	0.933511
ME3	-8.0058	0.920873
C22orf43	-7.3289	0.920873
MLTK	-7.7837	0.920873
ARHGEF3	-7.5717	0.920873
LRRC10B	-7.6157	0.920873
ANKRD1	-7.5365	0.920873
C13orf45	-7.266	0.933511
AXL	-7.989	0.933511
KPRP	-7.9798	0.933511
CUEDC2	-8.0231	0.933511
S100A7	-7.9909	0.933511
TNKS2	-7.4521	0.933511
ADAMTS7	-7.5666	0.933511
PLAC1	-7.9798	0.933511
FAM175A	-8.0284	0.933511
PCDHA5	-7.8548	0.920873
SLC52A3	-7.7358	0.920873
GCSAML	-7.825	0.913963
TENM1	-7.7621	0.933971
COX15	-7.8268	0.933971
CST7	-7.7636	0.933971
IL1RAPL1	-7.895	0.933971
CTC-429P9.4	-7.7066	0.934137
ADCY8	-7.9071	0.934137
KRTAP10-11	-7.8939	0.934137
OVCH1	-7.8425	0.92198
INPP5F	-7.9723	0.92198
TNFRSF1B	-7.8007	0.92285
AC002985.3	-7.13	0.89557
SDCBP2	-7.659	0.934891
Z98049.1	-7.2845	0.934891
WIPF1	-7.29	0.934891
AP000695.1	-7.1028	0.934891
GRK5	-7.0619	0.934891
SRPRB	-6.6085	0.934891
RPTN	-7.0823	0.935833
PSG4	-7.7943	0.935833
ARHGAP26	-7.6212	0.935833
OR51B4	-6.5031	0.92285
TRIM44	-7.2203	0.93626
MORC4	-7.0781	0.93626
TRAJ42	-6.266	1
GALP	-8.1324	0.923083
AC000003.2	-7.6398	0.93626
TSPAN10	-6.7863	0.93626
MGST1	-7.3741	0.93626
C10orf40	-7.3415	0.93626
NEIL3	-7.1358	0.93626
PPP2R2A	-7.821	0.93626
UBAC2	-7.7288	0.93626
BEST4	-7.4847	0.93626
ATP4A	-7.7424	0.93626
NAT16	-7.4952	0.923083
TNFRSF19	-7.8218	0.923083
WNT8B	-7.8548	0.923083
AIPL1	-7.9187	0.923083
SHC2	-7.9945	0.93626
CHFR	-7.6604	0.93626
ERF	-7.3268	0.93626
FBXO3	-7.7848	0.93626
HELZ2	-7.989	0.93626
CCNO	-8.0195	0.93626
PCMTD2	-7.7293	0.93626
OPN4	-6.8591	1
MTAP	-7.9147	0.93626
HAL	-8.0041	0.93626
SLC27A3	-7.778	0.93626
METTL7A	-7.8645	0.93626
NOX5	-7.8669	0.93626
CDCP2	-7.8218	0.93626
ASCL2	-7.7587	0.93626
CKLF-CMTM1	-8.5351	0.855119
CCL13	-7.9318	0.915957
CCL4	-7.8425	0.924836
GCM2	-7.5269	0.915957
CALHM1	-7.93	0.938389
RP11-795F19.5	-7.9807	0.938389
C4B	-8.0362	0.938389
AC112721.1	-6.623	0.938389
DEFB103A	-8.1192	0.900041
GABPB2	-6.8758	0.938534
IL32	-7.2056	0.938534
SULT4A1	-7.7039	0.938534
DUSP2	-7.5771	0.938534
GNG2	-7.7313	0.927888
TTC3	-7.4233	0.939223
DPPA3	-7.6987	0.939223
C11orf57	-7.4719	0.939223
FAM65C	-7.6536	0.939223
SLC17A2	-7.6544	0.916973
AC073188.1	-9.0048	1
SPINT2	-7.543	0.901298
LGALS14	-7.8954	0.940694
SAGE1	-7.2285	0.940694
RBBP7	-7.1265	0.940694
OLFM2	-7.0368	0.940694
GPR116	-7.7926	0.940694
GCG	-7.0587	0.940694
CXorf40A	-7.4523	0.940694
DIRAS1	-7.8911	0.930408
TRAV18	-7.7446	0.930408
NACAD	-7.5466	0.930408
PRAMEF11	-7.8459	0.940694
C15orf40	-7.4473	0.940694
FOXF1	-7.9069	0.930686
PDGFRA	-7.7354	0.940694
C7orf43	-7.9635	0.940694
PDE12	-7.711	0.940694
UNG	-7.4952	0.940694
PYHIN1	-7.7555	0.940694
CA4	-7.3346	0.940694
BROX	-7.1059	0.940694
AC138647.1	-7.2715	0.940694
DLK2	-7.5963	0.940694
FAM215A	-7.3692	0.940694
ING1	-7.9901	0.940694
FDFT1	-8.0117	0.940694
VWA7	-7.3963	0.940694
CABP4	-7.8968	0.940694
PKP2	-7.5765	0.940694
YTHDC2	-8.0269	0.941775
DLX1	-7.2897	0.941775
WNT1	-7.8045	0.941775
FABP3	-7.3921	0.941775
PGRMC1	-7.7421	0.941775
FBXO46	-8.1256	0.930686
TMEM189	-8.1256	0.930686
IGKV1D-43	-8.1256	0.930686
SNX10	-8.1256	0.930686
KCNMB4	-6.651	0.942135
LIPT2	-7.3071	0.942135
GABRR1	-7.4364	0.931114
DSN1	-7.5517	0.931241
MEOX1	-6.4019	0.942731
TRDV3	-7.0291	0.942731
FAM69C	-7.539	0.942731
GLOD4	-7.0821	0.942731
CCDC92	-7.0824	0.942731
LRP11	-7.516	0.931873
VAX1	-7.9666	0.942731
LCT	-7.7638	0.942731
POMGNT1	-8.0534	0.942731
CLTB	-7.9704	0.942731
XPO6	-7.7979	0.942731
NT5C1B-RDH14	-7.9797	0.942731
FTHL17	-8.0069	0.942731
DMRTC1	-7.5934	0.942731
OR10A5	-7.5929	0.942731
CHRDL1	-7.667	0.942731
ZNF549	-7.8085	0.942731
ZNF532	-7.2207	0.942731
BATF3	-7.91	0.942731
CRMP1	-8.0847	0.942731
NNMT	-7.2814	0.942731
BTG4	-8.0122	0.942731
CACNA1A	-7.4776	0.942731
G3BP2	-7.6044	0.942731
MCFD2	-7.9886	0.942731
SURF4	-7.2084	0.942731
TMEM259	-7.4421	0.942731
EHD3	-7.7197	0.942731
MANEAL	-7.8301	0.933511
ZHX1	-7.8259	0.933511
GDF10	-7.9572	0.933511
RP11-701P16.2	-7.6011	0.933511
OR5M8	-7.7621	0.933511
C1orf210	-7.606	0.933511
GRM3	-7.7389	0.943288
SRL	-7.6155	0.943288
MEDAG	-7.5852	0.943288
UNC5D	-7.4609	0.943301
GTSCR1	-7.8864	0.943301
MYO5C	-7.7637	0.943301
CAPS	-7.7623	0.943301
NKX1-1	-8.0422	0.943301
PSD3	-7.693	0.943301
NUP210	-7.9701	0.943301
CPVL	-7.9205	0.943301
VCY1B	-8.3915	0.812815
MYH3	-7.3237	0.944057
OR5R1	-5.5951	0.944057
PRED60	-7.2345	0.944057
C5orf45	-7.3579	0.934386
ARHGAP12	-7.299	0.944893
SQRDL	-7.7155	0.944893
RASGEF1B	-7.1305	0.944893
EEF1B2	-7.234	0.944893
RECQL5	-7.7462	0.944893
P2RY8	-7.6162	0.944893
GLYCTK	-7.344	0.944893
IGHV6-1	-7.8423	0.944893
ZNF668	-7.7179	0.982327
HMBOX1	-8.0565	0.944893
TRIM36	-8.0138	0.944893
MC5R	-7.4448	0.944893
PARD3B	-7.961	0.944893
ZFP42	-7.9704	0.944893
C2orf83	-7.119	0.944893
NCKAP1L	-7.889	0.944893
AMPD3	-7.6884	0.944893
KIDINS220	-6.8822	0.923083
ANO8	-7.9737	0.944917
MXRA5	-8.0812	0.944917
ECI2	-7.7144	0.944917
EME2	-7.6812	0.944917
SMAD7	-7.8592	0.944917
TECPR1	-7.3143	0.944917
CYP4F3	-7.8257	0.944917
HSD17B1	-7.7892	0.944917
CDR2L	-7.7044	0.93626
NKD2	-7.308	0.945195
RP11-521M14.2	-8.5172	0.862632
ARL4C	-7.9374	0.94533
DNAJA4	-8.1188	0.93626
PPM1B	-8.1188	0.93626
BRINP2	-7.9534	0.93626
SEMA3C	-7.606	0.93626
SLCO1B3	-7.6177	0.815195
PAK3	-6.7771	0.94762
TRIM26	-7.6351	0.948525
UPRT	-7.9396	0.948808
SPATA19	-7.8251	0.948808
PRR19	-7.1674	0.938534
LAP3	-7.9017	0.948956
KDM7A	-8.0914	0.939223
GAGE2A	-8.3445	0.817209
CTD-3138B18.4	-7.7954	0.908957
MON1A	-7.5058	0.948956
P2RY4	-7.5245	0.948956
SPG7	-7.4305	0.948956
SLC45A4	-7.9165	0.948956
APOBEC3C	-7.657	0.948956
SNX22	-7.2023	0.948956
SLC9A1	-8.0154	0.948956
KNSTRN	-7.7321	0.948956
CHAD	-7.9777	0.948956
SLC6A1	-7.9425	0.948956
CDKN3	-7.8667	0.948956
SHOX2	-8.07	0.948956
SLC24A5	-7.835	0.948956
IL9	-8.0258	0.948956
STAB2	-7.6074	0.948956
TACR2	-7.6395	0.948956
C1orf222	-7.4815	0.948956
SH2D4B	-7.6252	0.948956
RWDD3	-7.5493	0.948956
YTHDF3	-7.9773	0.948956
TAS2R1	-7.063	0.949624
PLCXD2	-6.7755	0.949624
PRAP1	-7.8871	0.940694
KHDRBS1	-7.9648	0.940694
POF1B	-7.5234	0.950507
HEATR3	-7.0361	0.950507
OTOR	-7.3631	0.950507
KLHL7	-7.774	0.950507
SHROOM1	-7.7291	0.950507
NEUROG3	-7.9838	0.950507
XPNPEP2	-6.546	0.950507
NICN1	-7.1142	0.950507
PLOD1	-7.5512	0.950507
NNT	-6.4223	0.950507
LCK	-7.8092	0.942135
MMAA	-7.649	0.942135
MOXD1	-7.1542	0.942135
CHKB	-7.895	0.942731
SLN	-7.7895	0.864174
CUL7	-8.0263	0.95183
ARMC1	-7.1213	0.95183
GIF	-7.6515	0.95183
C4BPA	-7.8579	0.95183
XG	-7.6793	0.95183
ULK2	-7.9221	0.95183
TSPYL5	-7.6976	0.95183
HAVCR2	-7.7749	0.95183
PLEKHJ1	-7.9232	0.95183
RGS12	-7.4574	0.95183
DCAF12L1	-7.646	0.95183
TMUB1	-8.0274	0.95183
RNASE4	-7.6595	0.95183
MYLIP	-8.0082	0.95183
AL121963.1	-7.2949	0.952851
CEACAM5	-7.3221	0.911889
KLRF1	-7.3254	0.953319
BRSK2	-7.5702	0.953319
COLGALT2	-7.493	0.953575
PCSK1	-7.2393	0.953575
PRM1	-6.8368	0.953575
SPSB1	-7.7354	0.953575
CCDC68	-7.4933	0.953575
ZCCHC2	-7.9965	0.931241
OR52B1P	-8.112	0.942731
MECP2	-8.112	0.942731
CDKN2AIPNL	-8.112	0.942731
CAMK1D	-7.4783	0.953575
KEL	-6.6223	0.953575
ZNF781	-7.8176	0.943288
TMEM35	-7.2499	0.953575
OR2T34	-7.4148	0.953575
SOX21	-7.5422	0.953575
RNF148	-7.4418	0.953575
MRO	-7.7718	0.953575
COL6A5	-7.6277	0.953575
EMILIN2	-7.534	0.953575
AC091150.1	-7.2209	0.953575
POGK	-7.785	0.953575
NRG1	-7.0937	0.953575
SYT5	-7.3779	0.953575
ADRA2C	-7.8425	0.953575
CMTM3	-7.9181	0.953575
RP11-817J15.3	-7.5832	0.953575
SPATA2L	-7.5004	0.944893
ATPAF2	-7.9758	0.953575
WFDC1	-7.5913	0.953575
PCDHGB4	-8.0323	0.953575
MARK1	-7.9903	0.953575
FADD	-8.0639	0.953575
BDH2	-8.0357	0.953575
AZI1	-7.9534	0.953575
CD84	-7.9665	0.953575
STAT3	-7.7621	0.944893
PSG1	-7.6246	0.953575
PAPPA2	-7.2412	0.953575
LRRIQ1	-7.4001	0.953575
TMEM240	-7.5348	0.953575
WHSC1	-7.5949	0.953575
KCNAB3	-7.7965	0.944893
TRPS1	-7.7668	0.953575
LRRC63	-7.8007	0.953575
ASGR1	-7.8266	0.953575
PI15	-7.7854	0.953575
C3	-7.6929	0.953575
DTWD1	-7.9436	0.953575
AIM2	-7.7408	0.953575
RP11-680G10.1	-7.1473	0.953575
PRAME	-7.8766	0.953575
ESRRB	-7.8174	0.953575
SLFNL1	-7.9831	0.933511
AC109583.1	-8.9619	1
PCDHGA10	-7.7577	0.900041
INO80C	-7.6669	0.913963
FOSL2	-7.8118	0.955262
ICMT	-7.7779	0.955262
CAMK1	-7.5537	0.955262
COL4A5	-8.1086	0.946175
CALR3	-8.1086	0.946175
CBLN2	-7.8301	0.947377
KRTAP13-4	-7.3808	0.955814
CORT	-7.4033	0.948525
SNAP47	-7.7829	0.955814
TTBK2	-7.9331	0.955814
FBXL15	-7.8027	0.955814
AC020907.1	-7.255	0.955814
PPEF1	-7.7316	0.955814
FAM43A	-7.6319	0.955814
CDX4	-8.0146	0.955814
BCHE	-6.5056	0.955814
SLC25A11	-7.4747	0.955814
AP000688.1	-7.4847	0.948956
PTPRN	-7.1042	0.955814
BICD2	-7.1994	0.955814
FIBIN	-7.0349	0.955814
CCDC64B	-7.8125	0.955814
BOD1	-7.8503	0.955814
ATF3	-7.8352	0.955814
DNAAF1	-7.3246	0.955814
DOK6	-7.3937	0.955814
SMIM2	-7.7773	0.955814
TXNDC2	-7.9816	0.955814
FAM134A	-7.7044	0.949392
OTOP1	-7.9664	0.955814
RARG	-7.7768	0.955814
TAOK2	-8.0132	0.955814
NOV	-7.9938	0.955814
CLEC17A	-7.9738	0.955814
CXorf24	-7.992	0.955814
PLB1	-7.9973	0.955814
RSPO2	-8.0062	0.955814
CACNA1F	-7.9991	0.955814
SLC38A9	-8.0422	0.955814
PARP16	-7.8321	0.955814
COA7	-7.8589	0.955814
SPINK7	-7.7912	0.955814
GPR113	-7.8419	0.955814
TLDC1	-7.9531	0.955814
MAGEB16	-7.9246	0.955814
LAMTOR1	-7.9453	0.955814
SAMD3	-7.6906	0.955814
SLC38A7	-7.7572	0.955814
IL6	-7.7597	0.955814
BCAT2	-7.8321	0.955814
IFNGR2	2.4042	0.000707
CLEC4G	-7.5056	0.950177
EBPL	-7.677	0.950177
DUSP4	-7.3719	0.956771
SLC28A2	-7.5589	0.956771
SCGB1D1	-6.0303	0.956771
UBAP2L	-7.9228	0.956771
CLDN8	-7.3602	0.957023
ZNF705B	-7.574	0.957079
TMEM185B	-7.5415	0.957079
SASH3	-7.8839	0.957079
POMC	-8.0694	0.957093
SLC27A4	-7.5245	0.95719
AKR1A1	-7.9507	0.95719
ABHD14A-ACY1	-8.2014	0.871987
MSH5-SAPCD1	-8.2976	0.903471
IGLV1-36	-7.2379	0.95183
HAPLN1	-7.3569	0.958163
NENF	-7.4364	0.95183
SHKBP1	-7.8771	0.958163
DLX5	-7.3229	0.958163
FAM188B2	-6.951	0.958163
SLAMF6	-7.6179	0.958163
POMK	-7.9584	0.958163
PLEKHA5	-7.9014	0.958163
LRRC25	-7.6615	0.958163
PPP1R1B	-7.5978	0.958163
CCDC34	-7.588	0.958163
MRPL20	-5.669	0.958163
LBP	-6.4115	0.958163
COL9A2	-7.8079	0.958163
LOXL3	-7.8153	0.958163
GAS2	-7.379	0.958163
KPNA7	-7.7144	0.958163
EGLN1	-7.2391	0.958163
SHPRH	-7.9693	0.958163
TRAC	-7.6726	0.958163
BTNL2	-7.4723	0.958163
CCR2	-7.8355	0.958163
YTHDF1	-6.9335	0.958163
PRAC1	-7.7313	0.953575
KLF3	-7.4503	0.958163
DVL1	-7.9173	0.958163
TFF3	-7.7071	0.958163
SAMD9L	-8.1017	0.953575
RNF167	-8.1017	0.953575
BZRAP1	-7.9972	0.958163
BAAT	-8.0095	0.958163
DYNAP	-7.9419	0.958163
KIF17	-7.8604	0.958163
TFAP2D	-7.558	0.958163
C15orf27	-7.8879	0.958163
SLAMF8	-7.804	0.958163
FAIM2	-7.7965	0.958163
MAPK8IP1	-7.7711	0.958163
FABP9	-8.0219	0.958163
HDAC1	-7.9133	0.958163
FEV	-8.06	0.958163
ZHX3	-7.4199	0.953575
SGK1	-7.6291	0.958303
RECQL4	-7.3937	0.958303
C19orf12	-7.7446	0.953575
MAN2B2	-7.9761	0.953575
PPARGC1A	-7.8816	0.958962
BMP5	-7.2504	0.958962
OR14A2	-7.4741	0.953575
TFPI	-7.0999	0.959189
ESM1	-7.805	0.953575
JADE3	-7.6277	0.959677
C10orf115	-7.9423	0.942731
RBL1	-7.7313	0.98854
ABHD16B	-7.805	0.93626
NPC1L1	-7.7747	0.959715
TRIM58	-7.3174	0.959715
CNKSR2	-7.8274	0.959715
VSTM1	-7.0875	0.959715
IQCF1	-7.5981	0.959715
LHFPL2	-7.7163	0.959715
NUAK2	-7.8642	0.959715
SYNJ1	-7.2448	0.959715
THAP2	-7.9347	0.920873
RP11-382J12.1	-7.8791	0.955814
SHISA2	-7.5682	0.942731
TBX4	-8.0983	0.955814
MAP2K5	-7.2185	0.959715
STARD5	-7.7635	0.959715
STK33	-7.656	0.959715
FCGR3A	-7.9165	0.959715
FOCAD	-7.9513	0.959715
SLC7A2	-7.2403	0.959715
ADAM28	-7.6988	0.959715
FZD8	-8.0248	0.959715
U2AF1L4	-7.5861	0.959715
PRSS53	-8.0597	0.959715
CXorf22	-7.9457	0.959715
LYG1	-8.0499	0.959715
C9orf170	-7.9663	0.959715
CYR61	-7.6798	0.959715
CAND2	-7.8394	0.959715
TBC1D22B	-6.1726	0.959715
RPS6KL1	-7.7725	0.959715
EEF1D	-7.6699	0.959715
IL18	-7.8911	0.955814
CRYM	-7.7545	0.959715
TMEM185A	-7.8242	0.959715
PIGP	-7.8528	0.959715
FBRSL1	-7.8673	0.959715
GRIN2B	-7.8883	0.959715
P4HTM	-7.7615	0.959715
DNM1	-7.9506	0.959715
CREBRF	-7.4606	0.959715
BEND2	-7.9614	0.959715
FCHSD2	-7.6836	0.959715
FAM188B	-7.774	0.959715
TSPAN12	-7.8441	0.959715
RP4-559A3.7	-7.7723	0.959715
PROCR	-7.8445	0.959715
DRAM2	-7.8129	0.959715
OR5AP2	-7.4144	0.955814
OBSL1	-7.5845	0.960198
MYCBP2	-7.5275	0.960198
LBX1	-7.4967	0.960718
LTBP2	-7.215	0.960718
KLHL38	-7.0827	0.960763
PODNL1	-7.7388	0.960763
TTC40	-7.468	0.961883
DLG2	-7.6642	0.961883
DEFA3	-8.9332	1
DNAH12	-7.3406	0.957093
RIBC1	-7.2056	0.961883
TCHP	-8.0187	0.961883
BHLHA15	-8.041	0.961883
LEMD1	-7.5313	0.961883
DNMBP	-7.1481	0.961883
ASPHD1	-7.532	0.961883
DEFB124	-7.7102	0.961883
ZNF391	-7.9005	0.961883
NEK9	-6.386	0.961883
AKAP10	-7.4596	0.961883
CKAP4	-7.6161	0.961883
C1QL1	-7.8465	0.961883
DUS4L	-6.395	0.961883
MATN1	-6.4532	0.961883
RFX3	-7.805	0.958163
UPK1B	-7.4309	0.958163
OR4D1	-6.3977	0.961883
MS4A5	-6.8445	0.961883
OR8D4	-6.6794	0.958163
TMEM229A	-7.7935	0.961883
FZD1	-7.9323	0.961883
